"","sikker_fg","fg_kunnskap_1","fg_kunnskap_2","fg_kunnskap_3","fg_forbedring","fg_likhet_1","fg_likhet_2","fg_likhet_3","fg_kunnskap2","fg_auto_flykt","fg_region","fg_kjennskap_nav","fg_auto_nav","fg_pari_nav","fg_kjennskap_prv","fg_auto_prv","fg_imp_1","fg_imp_2","fg_imp_3","fg_flykt_post","fg_nav_post","fg_prv_post","fg_tradeoff_1","fg_tradeoff_2","fg_tradeoff_3","demo_edu","demo_party","demo_trust","demo_lr_scale","post","fg_sikkert_post","fo_delib","fo_media","on_sikkert_post","fg"
"1",NA,4,4,4,4,4,3,4,4,1,3,4,1,3,4,1,5,4,5,2,1,2,3,3,3,3,3,2,4,0,NA,NA,NA,NA,1
"2",NA,4,5,4,3,4,3,4,5,1,6,4,1,1,5,1,3,4,4,2,2,2,1,1,1,7,2,2,7,0,NA,NA,NA,NA,0
"3",NA,4,4,4,3,4,4,4,4,1,2,6,1,2,2,3,4,4,5,1,2,2,1,1,1,5,6,3,5,0,NA,NA,NA,NA,1
"4",NA,4,5,5,9,7,5,5,8,1,8,8,1,1,4,3,2,2,2,2,2,2,3,2,1,6,13,3,4,0,NA,NA,NA,NA,0
"5",NA,4,2,4,5,5,5,8,4,4,5,4,2,2,5,1,4,4,5,2,1,2,3,3,3,7,7,2,2,0,NA,NA,NA,NA,0
"6",NA,4,3,2,3,4,2,4,3,1,4,3,1,2,3,1,4,4,5,3,1,2,1,3,2,6,6,2,3,0,NA,NA,NA,NA,1
"7",NA,2,4,5,2,1,1,2,6,2,6,6,2,2,6,2,4,3,3,2,2,2,1,2,2,6,2,2,7,0,NA,NA,NA,NA,1
"8",NA,3,5,5,3,3,3,3,5,1,5,2,1,2,1,1,4,4,5,1,3,2,1,2,2,3,2,1,7,0,NA,NA,NA,NA,0
"9",NA,4,5,5,3,7,7,6,6,1,1,6,2,1,1,1,4,2,5,2,2,2,1,2,2,7,1,3,6,0,NA,NA,NA,NA,1
"10",NA,3,5,5,2,1,1,3,6,1,6,6,1,1,5,1,5,5,5,2,2,2,1,3,3,7,2,2,7,0,NA,NA,NA,NA,0
"11",NA,4,4,3,9,6,3,4,5,1,4,3,1,1,5,1,4,3,5,3,2,1,1,3,1,6,13,2,4,0,NA,NA,NA,NA,1
"12",NA,4,4,4,3,8,4,4,4,1,4,4,1,2,3,1,3,4,4,2,1,1,1,2,2,6,2,3,7,0,NA,NA,NA,NA,0
"13",NA,4,2,1,3,4,5,6,3,1,6,4,1,1,1,1,3,3,5,2,3,2,1,3,1,7,2,4,9,0,NA,NA,NA,NA,0
"14",NA,4,4,5,3,4,4,2,2,1,3,1,1,2,1,1,3,5,5,2,1,1,1,3,NA,7,7,2,2,0,NA,NA,NA,NA,0
"15",NA,4,5,4,2,3,1,3,4,1,5,5,3,1,5,1,3,4,5,2,2,2,1,1,2,3,6,2,3,0,NA,NA,NA,NA,1
"16",NA,4,5,5,3,2,2,4,5,1,8,6,1,1,6,1,4,3,5,2,2,2,3,2,2,7,13,2,2,0,NA,NA,NA,NA,0
"17",NA,4,5,5,5,6,3,5,3,1,3,2,1,3,3,1,4,4,4,3,3,3,1,3,3,6,9,4,6,0,NA,NA,NA,NA,1
"18",NA,3,4,3,2,4,3,4,6,2,6,7,1,2,7,1,5,3,5,2,1,2,1,1,2,3,2,3,8,0,NA,NA,NA,NA,1
"19",NA,4,5,5,3,2,2,4,5,2,6,5,2,1,5,1,4,3,4,2,2,2,1,1,1,6,6,3,4,0,NA,NA,NA,NA,0
"20",NA,3,2,4,2,2,2,3,7,1,6,6,1,1,5,1,4,4,5,2,2,2,1,1,2,6,3,2,4,0,NA,NA,NA,NA,1
"21",NA,4,5,5,2,8,3,6,3,1,4,3,1,2,2,1,4,3,5,2,1,1,1,3,3,3,3,1,2,0,NA,NA,NA,NA,1
"22",NA,4,4,5,4,7,3,4,5,1,3,5,1,1,5,1,4,3,3,2,1,2,1,2,2,7,2,2,6,0,NA,NA,NA,NA,1
"23",NA,1,4,4,3,4,2,4,6,1,6,5,1,1,6,1,4,3,4,2,2,2,1,1,1,7,6,2,4,0,NA,NA,NA,NA,0
"24",NA,3,4,4,3,1,1,5,6,2,6,6,2,1,5,1,4,4,5,2,2,2,1,1,1,6,8,2,1,0,NA,NA,NA,NA,0
"25",NA,6,4,4,9,8,8,4,8,1,5,4,1,2,2,1,4,3,4,2,2,1,1,1,3,3,1,3,7,0,NA,NA,NA,NA,1
"26",NA,2,4,5,3,4,4,4,5,1,5,5,1,3,3,1,4,3,5,1,3,1,1,1,2,6,2,4,7,0,NA,NA,NA,NA,1
"27",NA,2,4,4,3,6,3,4,5,1,5,5,1,2,5,1,3,3,4,2,2,2,1,2,1,7,2,2,6,0,NA,NA,NA,NA,1
"28",NA,5,5,5,9,8,8,8,3,1,4,5,1,1,2,1,4,4,5,2,3,1,1,2,1,7,2,2,6,0,NA,NA,NA,NA,0
"29",NA,3,2,4,6,7,3,2,3,1,3,2,1,1,1,1,3,4,5,1,1,1,2,1,2,6,2,2,7,0,NA,NA,NA,NA,1
"30",NA,4,2,4,3,2,2,4,3,1,4,3,1,1,3,1,5,5,5,1,2,1,1,3,2,7,13,1,5,0,NA,NA,NA,NA,1
"31",NA,3,4,4,4,5,4,4,5,1,3,5,1,1,5,1,3,4,5,2,1,1,1,3,3,5,6,3,4,0,NA,NA,NA,NA,1
"32",NA,5,5,5,9,7,2,7,4,1,4,3,1,1,3,1,4,4,5,2,2,2,1,1,1,7,2,2,6,0,NA,NA,NA,NA,1
"33",NA,3,4,5,3,4,2,5,4,1,4,8,3,1,5,1,4,3,5,2,2,3,2,2,2,7,7,1,1,0,NA,NA,NA,NA,0
"34",NA,4,4,4,3,5,3,3,5,1,5,5,1,1,5,1,3,4,4,2,2,3,2,3,3,7,2,2,6,0,NA,NA,NA,NA,1
"35",NA,4,2,4,5,6,4,5,2,1,2,2,1,1,4,1,5,3,3,1,2,1,1,1,1,3,2,2,6,0,NA,NA,NA,NA,0
"36",NA,3,4,3,3,3,2,4,4,1,4,5,1,1,3,1,5,4,5,1,1,1,2,1,2,6,8,3,2,0,NA,NA,NA,NA,1
"37",NA,4,5,5,3,3,3,4,3,1,5,3,1,2,2,1,3,4,5,1,1,1,3,2,2,3,6,1,3,0,NA,NA,NA,NA,0
"38",NA,3,4,4,3,5,3,4,5,1,5,5,1,1,5,1,4,4,5,2,1,1,1,1,2,7,4,2,6,0,NA,NA,NA,NA,1
"39",NA,4,4,3,3,5,3,3,5,1,5,3,1,2,2,1,4,5,4,2,1,2,1,1,1,5,5,5,1,0,NA,NA,NA,NA,1
"40",NA,1,5,5,2,3,4,2,2,1,6,5,1,1,5,1,6,6,6,2,2,2,1,1,1,3,13,1,11,0,NA,NA,NA,NA,1
"41",NA,2,4,4,3,7,3,3,6,1,6,5,1,1,5,1,3,3,4,2,2,2,2,2,1,7,3,2,6,0,NA,NA,NA,NA,0
"42",NA,4,4,4,3,8,8,4,5,1,5,5,1,1,4,1,4,4,4,1,2,3,1,1,3,7,NA,2,5,0,NA,NA,NA,NA,1
"43",NA,4,4,4,3,3,2,4,3,1,5,2,1,2,3,1,4,5,5,2,1,1,1,1,1,6,7,4,2,0,NA,NA,NA,NA,1
"44",NA,4,3,2,6,5,3,5,4,1,6,2,1,2,2,1,3,4,4,2,2,2,1,1,1,5,3,4,4,0,NA,NA,NA,NA,0
"45",NA,3,4,4,3,5,3,8,5,1,3,4,1,2,4,1,4,3,4,1,2,1,1,3,2,3,13,2,3,0,NA,NA,NA,NA,1
"46",NA,4,4,3,3,4,3,4,4,1,5,3,1,1,2,1,3,4,5,2,1,1,1,1,1,6,6,2,5,0,NA,NA,NA,NA,0
"47",NA,4,5,5,3,4,3,5,5,1,8,5,1,1,3,1,5,3,4,1,2,1,1,1,3,3,6,1,5,0,NA,NA,NA,NA,0
"48",NA,3,5,5,3,3,3,5,5,1,4,4,2,3,3,1,4,4,3,2,3,2,1,1,3,6,10,2,4,0,NA,NA,NA,NA,0
"49",NA,4,3,3,6,6,6,2,3,1,4,3,1,2,3,1,3,3,5,1,1,1,3,2,2,5,8,6,5,0,NA,NA,NA,NA,1
"50",NA,4,4,5,1,2,3,6,7,1,3,5,1,3,7,1,5,5,5,1,2,2,2,2,2,3,13,4,3,0,NA,NA,NA,NA,0
"51",NA,4,4,3,4,5,2,6,4,1,6,5,1,1,4,1,5,5,4,2,1,2,2,3,1,5,2,2,9,0,NA,NA,NA,NA,1
"52",NA,4,5,5,5,5,2,6,3,1,4,2,1,2,1,1,5,5,5,2,1,1,1,2,2,3,13,2,2,0,NA,NA,NA,NA,1
"53",NA,4,4,4,3,3,3,3,5,1,6,5,1,2,5,1,4,4,5,1,1,1,2,3,1,6,6,2,5,0,NA,NA,NA,NA,1
"54",NA,4,5,5,5,7,5,6,4,1,8,5,1,1,1,1,2,3,4,2,1,3,3,3,3,3,2,3,8,0,NA,NA,NA,NA,0
"55",NA,5,4,4,5,4,3,5,3,1,2,3,1,3,2,1,4,5,5,2,1,1,3,3,2,7,6,4,3,0,NA,NA,NA,NA,1
"56",NA,3,2,2,2,2,2,3,5,1,8,5,1,3,5,1,4,4,4,3,3,3,1,3,3,7,7,2,3,0,NA,NA,NA,NA,1
"57",NA,4,4,4,9,8,2,8,4,1,5,4,3,1,8,1,5,4,5,2,2,2,3,3,3,5,13,4,5,0,NA,NA,NA,NA,0
"58",NA,3,4,3,3,3,2,4,4,1,4,4,1,1,5,1,4,4,5,2,2,2,1,2,2,7,6,1,4,0,NA,NA,NA,NA,1
"59",NA,4,4,3,6,5,4,4,3,1,4,2,1,1,4,1,5,4,4,1,1,3,1,3,3,6,11,3,11,0,NA,NA,NA,NA,1
"60",NA,4,4,3,1,5,1,4,5,1,5,7,2,1,3,1,4,3,5,2,2,1,1,3,1,2,3,2,5,0,NA,NA,NA,NA,1
"61",NA,4,6,5,2,5,2,3,4,2,5,5,2,1,5,2,3,5,5,2,2,2,1,1,1,5,11,4,5,0,NA,NA,NA,NA,1
"62",NA,4,4,5,9,4,4,4,5,1,4,4,1,3,5,1,4,3,4,2,1,1,1,1,1,7,9,2,5,0,NA,NA,NA,NA,1
"63",NA,3,4,3,5,7,5,5,4,1,4,3,1,3,2,1,5,4,5,2,1,2,2,3,3,3,6,3,7,0,NA,NA,NA,NA,1
"64",NA,4,5,4,3,6,3,4,4,2,5,4,2,1,2,1,3,4,5,2,2,1,1,3,3,5,2,2,8,0,NA,NA,NA,NA,1
"65",NA,5,5,5,2,5,2,5,4,2,4,5,1,1,6,2,4,4,4,2,2,2,1,1,1,7,7,2,2,0,NA,NA,NA,NA,0
"66",NA,4,4,4,9,3,3,4,5,1,4,4,1,2,5,1,4,3,5,2,2,1,2,2,2,6,6,2,5,0,NA,NA,NA,NA,0
